Do it again!	Recommencez !
You are early.	Vous êtes matinale.
Do it right now.	Faites-le immédiatement.
Tom was better.	Tom était meilleur.
It's so clean.	C'est tellement propre.
You're a child.	Tu es une enfant.
Who lives here?	Qui habite ici ?
She smells bad.	Elle sent mauvais.
Fishing is fun.	Pêcher est amusant.
I see that.	C'est ce que je vois.
Tom winced.	Tom a fait une grimace.
Turn it up.	Augmentez-le.
Is it in there?	Est-ce là-dedans ?
My car is red.	Ma voiture est rouge.
Get to bed.	Au lit !
My back aches.	Mon dos me fait mal.
It's not right.	C'est inexact.
I'm sad.	Je suis malheureux.
Help Tom.	Aidez Tom !
Tom is blind.	Tom est aveugle.
I'll need this.	J'aurai besoin de ceci.
I'm all yours.	Je suis toute à toi.
Was it cold?	Faisait-il froid ?
I need a crew.	Il me faut un équipage.
Try not to cry.	Essayez de ne pas pleurer !
I can run.	Je sais courir.
I have a cat.	J'ai une chatte.
Do you promise?	Promets-tu ?
I'm skinny.	Je suis maigrichon.
Are you coming?	Viens-tu ?
Go home now.	Allez à la maison, maintenant.
Make it quick.	Fais vite !
I'm not armed.	Je ne suis pas armée.
I'm free now.	Je suis libre maintenant.
I'm bleeding.	Je suis en train de saigner.
I'm exhausted.	Je suis crevé.
I decorated it.	Je l'ai décoré.
The radio died.	La radio s'est éteinte.
I need proof.	Il me faut des preuves.
Men are idiots.	Les hommes sont des idiots.
I'm concerned.	Je suis préoccupé.
Push it.	Pousse-la.
You're amusing.	Vous me faites marrer.
See you!	Ciao.
No way!	Sans façons !
I've failed.	J'ai échoué.
He should come.	Il devrait arriver.
Got it!	J'ai pigé !
Form two lines.	Formez deux lignes.
He was brave.	Il était courageux.
Try this.	Essaie ceci !
I got a suntan.	Je suis hâlée.
Be discreet.	Sois discret !
Must I go on?	Dois-je continuer ?
Change is good.	Le changement est bénéfique.
Tom looks dead.	Tom a l'air d'être mort.
Good morning.	Bonjour.
I love winning.	J'adore l'emporter.
You're rude.	Vous êtes grossière.
Tom'll succeed.	Tom réussira.
Is this wine?	S'agit-il de vin ?
It's missing.	C'est manquant.
Give me a gun.	Donnez-moi une arme.
I had to wait.	J'ai dû attendre.
I stink.	Je pue.
That's mine.	C'est la mienne.
Did you help?	Avez-vous donné un coup de main ?
I never bet.	Je ne parie jamais.
Push it.	Poussez-la.
She smiled.	Elle a souri.
Tom groaned.	Tom gémissait.
You are late.	Tu es en retard.
Take this.	Prends ça.
I saw nothing.	Je ne vis rien.
I retired.	J'ai pris ma retraite.
What is love?	Qu'est l'amour ?
Don't deny it.	Ne le niez pas !
Are you up?	Êtes-vous levé ?
You're skinny.	Tu es maigrichon.
Leave tomorrow.	Partez demain.
Winter is over.	L'hiver est passé.
Here we go.	C'est parti !
I know this.	Je sais ça.
Terrific!	Au poil !
Speak French.	Parlez français.
Tom might die.	Tom pourrait mourir.
Don't blame me.	Je n'y suis pour rien.
Try this cake.	Essayez ce gâteau.
Bury it.	Enterrez-le.
I exercised.	Je me suis entraînée.
May I help you?	Puis-je vous aider ?
Is French easy?	Le français est-il facile ?
Are you on dope?	Êtes-vous droguées ?
Boats can sink.	Les bateaux peuvent couler.
They're boys.	Ce sont des garçons.
Is it reliable?	Est-ce fiable ?
I'll trust you.	Je me fierai à toi.
Tom broke that.	Tom a cassé cela.
Loosen up.	Détendez-vous !
Tom isn't rich.	Tom n'est pas riche.
I'm not blind.	Je ne suis pas aveugle.
Pardon me?	Qu'as-tu dit ?
Come quickly.	Venez vite.
I lit the fire.	J'ai allumé le feu.
He touched me.	Il m'a touchée.
Leave me alone.	Fous-moi la paix !
I'm starved.	J'ai la dalle.
Tom remembered.	Tom se souvenait.
I betrayed you.	Je vous ai trahi.
Check that.	Vérifie ça.
I am short.	Je suis petite.
You're drunk.	Vous êtes saoules.
Hold still.	Tenez-vous tranquille !
Go fly a kite.	Dégage.
I quit smoking.	J'ai arrêté de fumer.
The twins sang.	Les jumeaux chantaient.
I rescued you.	Je vous ai sauvées.
Aren't you hot?	N'avez-vous pas chaud ?
We took a cab.	Nous avons pris un taxi.
I don't mind.	Cela m'est égal.
Get in the van.	Montez dans la camionnette !
Who will do it?	Qui le fera ?
Get away!	Bouge !
I'm successful.	J'ai du succès.
Get away!	Allez-vous en !
I'm powerless.	Je suis désarmée.
We must speak.	Il nous faut nous parler.
I like chess.	J'apprécie les échecs.
Are you lonely?	Te sens-tu seul ?
I'm a friend.	Je suis un ami.
Tom exhaled.	Tom respirait.
It'll break.	Ça va rompre.
I'm not deaf.	Je ne suis pas sourd.
She is crying.	Elle est en train de pleurer.
They hate us.	Elles nous détestent.
I'm losing.	Je suis en train de perdre.
Listen.	Écoutez !
Can I eat this?	Puis-je manger ceci ?
We are at war.	Nous sommes en guerre.
I saw her swim.	Je l'ai vu nager.
Do come again.	Reviens nous voir.
Let's drop it.	Laissons tomber.
I had doubts.	J'avais des doutes.
Try it on.	Essaie-le !
Wonderful!	Magnifique !
I have tenure.	Je suis titulaire.
We'll miss Tom.	Tom nous manquera.
It is unfair.	C'est injuste.
It's urgent.	C'est urgent.
I can do this.	Je peux le faire !
We must talk.	Il faut que nous discutions.
You look busy.	Tu sembles occupé.
Tom may change.	Tom pourrait changer.
You're early.	Tu es matinal.
Tell me.	Dites-moi !
Men never cry.	Les hommes ne pleurent jamais.
Run!	Cours !
Keep warm.	Gardez au chaud.
Is this common?	C'est courant ?
You have to go.	Tu dois partir.
It's indecent.	C'est indécent.
We all work.	Nous travaillons toutes.
I own a yacht.	Je possède un bateau de plaisance.
She helped him.	Elle l'a aidé.
Relax.	Détends-toi.
Did you win?	L'as-tu emporté ?
Pick a date.	Choisis une date !
Get lost!	Bouge !
Tom did well.	Tom s'est bien débrouillé.
What do you do?	Que faites-vous ?
I'm not tall.	Je ne suis pas grande.
Look away.	Regardez ailleurs.
I was tempted.	J'ai été tenté.
You're funny.	Vous êtes marrantes.
A boat capsized.	Un bateau chavira.
Tom needed us.	Tom avait besoin de nous.
Talk to me.	Parlez-moi !
I'm used to it.	J'y suis accoutumé.
Shoot it down.	Démonte-moi ça.
You're a liar.	Vous êtes une menteuse.
Act your age.	Comportez-vous comme quelqu'un de votre âge.
Sit down!	Assieds-toi !
I cursed.	J'ai juré.
Come alone.	Viens seul !
How's Tom?	Comment Tom va-t-il ?
Are you leaving?	Vous partez ?
Tom's deaf.	Tom est sourd.
I've found it.	Je l'ai trouvé !
Tom needs you.	Tom a besoin de vous.
It works well.	Cela fonctionne bien.
You're no help.	Vous n'êtes d'aucune aide.
I love to swim.	J'adore nager.
Just do it.	Fais-le, tout simplement !
Take command.	Prenez le commandement.
We're relaxed.	Nous sommes détendus.
This is creepy.	C'est effrayant.
I smelled it.	Je l'ai senti.
He has come!	Il est venu !
Prepare to die.	Prépare-toi à mourir !
They both died.	Ils sont morts tous les deux.
Be discreet.	Soyez discret !
You're amazing.	Tu es incroyable.
I was impolite.	J'ai été impolie.
Get down!	Au sol !
I woke you up.	Je vous ai réveillées.
Take care.	Faites attention.
You're sick!	Vous êtes malade !
How can it be?	Comment cela se peut-il ?
You're safe.	Vous êtes sauve.
I was too shy.	J'étais trop timide.
I called you.	Je vous ai appelés.
He cheated me.	Il m'a trompé.
It is too hot.	Il fait trop chaud.
Is Tom correct?	Tom a-t-il raison ?
Close your eyes.	Fermez les yeux.
Tom'll improve.	Tom s'améliorera.
It was so good.	C'était si bon.
I hate that.	Je déteste ça.
Tom waited up.	Tom est resté debout.
Get away!	Tire-toi de là.
We went skiing.	Nous partions skier.
Get down.	Descendez !
I want the fan.	Je veux le ventilateur.
Come over.	Viens chez moi !
I love jokes.	J'adore les plaisanteries.
Back off.	Reculez.
Lead the way.	Montrez le chemin.
She plays Bach.	Elle joue Bach.
He wants to go.	Il veut y aller.
Who washed it?	Qui l'a lavée ?
You're hideous.	Vous êtes hideuse.
I took risks.	J'ai pris des risques.
You're quiet.	Tu es calme.
Clean your room.	Nettoie ta chambre !
Who wants that?	Qui veut ça ?
Can you help us?	Pouvez-vous nous aider ?
Drive slowly.	Conduis lentement.
She's innocent.	Elle est innocente.
He's your son.	Il est votre fils.
We all cried.	Nous avons tous pleuré.
Send Tom over.	Fais venir Tom.
Act like a man.	Conduis-toi en homme !
Relax.	Cool, Raoul !
Did I wake you?	T'ai-je réveillée ?
They lost.	Ils ont perdu.
You need us.	Tu as besoin de nous.
Call a plumber.	Appelle un plombier !
We're reading.	Nous lisons.
Keep dancing.	Continuez de danser.
Can we help?	Pouvons-nous vous aider ?
I'm back home.	Je suis rentrée chez moi.
Wait a minute.	Attends une minute.
Anybody here?	Y a-t-il quelqu'un ?
She hit him.	Elle l'a frappé.
I was tired.	J’étais fatiguée.
We're punctual.	Nous sommes ponctuels.
Take care!	Attention !
We all do that.	Nous le faisons tous.
Everyone farts.	Tout le monde pète.
I love my life.	J'adore ma vie.
Be prepared.	Tenez-vous prêt !
I'm ready!	Je suis prêt !
We're ruthless.	Nous sommes impitoyables.
Loosen up.	Laisse-toi aller !
We'll miss you.	Vous nous manquerez.
Wipe your nose.	Essuie-toi le nez !
I promised.	J’ai promis.
Bring a hat.	Apportez un chapeau.
Isn't it nice?	N'est-ce pas gentil ?
We'll miss Tom.	Tom va nous manquer.
Am I late?	Suis-je en retard ?
Drink some tea.	Prends un peu de thé.
Call me back.	Rappelez-moi.
Let Tom finish.	Laissez Tom finir.
It's the cops!	Les flics !
You're grumpy.	Vous êtes grognon.
You're cruel.	Tu es cruel.
Keep back.	Restez en retrait.
Don't rush.	Tranquille.
Time's up.	Le temps est écoulé.
She is a fox.	C'est un renard.
They're inside.	Ils sont à l'intérieur.
We're calm.	Nous sommes calmes.
Tom is early.	Tom est en avance.
They're cold.	Elles sont froides.
You're crafty.	Vous êtes rusées.
Go for broke!	Joue le tout pour le tout !
They both work.	Elles travaillent toutes les deux.
It gets worse.	Ça empire.
That'll last.	Il faudra du temps.
I like flowers.	J'aime les fleurs.
I fed the dog.	J'ai nourri la chienne.
I love it!	J'adore ça !
May I go home?	Puis-je aller à la maison ?
Please try one.	Veuillez en essayer un.
I'll take it.	Je le prends.
He is young.	Il est jeune.
Are you envious?	Es-tu jaloux ?
Keep back.	Restez à l'écart.
I grinned.	J'ai souri.
This is spam.	C'est un courriel indésirable.
She was busy.	Elle était occupée.
I'm not going.	Je ne m'y rends pas.
I'm starved.	J'ai l'estomac dans les talons.
Let me try it.	Laisse-moi essayer.
I play rugby.	Je joue au rugby.
Go to bed.	File au lit !
Tom took off.	Tom a décollé.
Turn it up.	Montez-le.
We were busy.	Nous étions occupées.
I left Tom.	J'ai quitté Tom.
That's so sad.	C'est si triste.
Just forget it.	Oubliez !
Tom does that.	Tom le fait.
He can't do it.	Il n'est pas capable de le faire.
Do you get it?	Pigez-vous ?
Tom said hi.	Tom a dit bonjour.
I was moved.	J'étais ému.
I succeeded.	J'y suis parvenue.
I don't belong.	Je ne m'insère pas.
Where's my car?	Où est ma voiture ?
Everybody left.	Tout le monde partit.
I'm ready.	Je suis prêt.
Tom is smashed.	Tom est saoul.
Is Tom correct?	Est-ce que Tom a raison ?
No way!	C'est exclu !
I did warn you.	Je vous avais prévenus.
Come back home.	Reviens à la maison.
Are you working?	Travaillez-vous ?
Let's move.	On se casse.
It's water.	C'est de l'eau.
It's wonderful.	C'est magnifique !
Open this door.	Ouvre cette porte !
How's your son?	Comment va votre fils ?
Are you certain?	En es-tu sûr ?
Run faster.	Cours plus vite !
What a letdown!	Quelle déception !
We all cried.	Nous avons toutes pleuré.
I'm not bitter.	Je ne suis pas amère.
I need a pen.	J'ai besoin d'un stylo.
Tom's alive.	Tom est vivant.
My eyes itch.	Mes yeux me démangent.
Tom is mad.	Tom est fou.
Make your bed.	Faites votre lit !
Really?	Ah vraiment ?
Too late.	Trop tard.
I have rights.	Je dispose de droits.
Look at that!	Regarde ça !
It feels good.	Ça fait du bien.
Don't do this.	Ne fais pas ça !
Go away.	Déguerpissez.
It's dead.	C'est mort.
Are we safe?	Sommes-nous en sécurité ?
Was Tom lost?	Tom était-il perdu ?
It's the best.	C'est la meilleure.
Who plays golf?	Qui joue au golf ?
Take your shot.	À vous de tirer !
You are rich.	Vous êtes riches.
I was excited.	J'étais excitée.
Don't touch it.	Ne touche pas à ça !
I feel trapped.	Je me sens piégée.
Watch the door.	Surveillez la porte !
We lost.	Nous fûmes battus.
Nice timing.	Pile poil !
We had a fight.	On s'est battus.
Birds sing.	Les oiseaux chantent.
Cut it out!	Arrêtez !
Is it hard?	Est-ce difficile ?
Take that back.	Retire ça !
He seems tired.	Il a l'air fatigué.
Try to sleep.	Essaie de dormir.
Keep back.	Reste à l'écart.
I don't mind.	Ça m'est égal.
Stay back.	Ne t'approche pas.
Stop the car.	Arrête la voiture !
Comfort Tom.	Console Tom.
Does this hurt?	Est-ce que ça fait mal ?
I quit my job.	J'ai démissionné de mon boulot.
Got it!	Aha !
Set Tom free.	Libérez Tom.
I lost the bet.	Je perdis le pari.
That's right!	C'est juste !
Get the camera.	Prenez l'appareil photo.
Tom is quiet.	Tom est silencieux.
Both are alive.	Elles sont toutes deux vivantes.
I like camels.	J’aime les chameaux.
Open it.	Ouvre-la.
I have to win.	Il faut que je l'emporte.
I got fined.	On m'a mis une prune.
I did have fun.	Je me suis amusé.
Pull over here.	Arrête-toi ici !
Tom, wake up.	Tom, réveille-toi.
This is ugly.	C'est laid.
They're Asian.	Elles sont asiatiques.
I'm no quitter.	Je n'abandonne pas facilement.
It's a scam.	Il s'agit d'une arnaque.
Be very careful.	Soyez très prudente !
I need you now.	J'ai besoin de toi maintenant.
Can you juggle?	Sais-tu jongler ?
Don't speak.	Ne parle pas.
Beat it.	Fiche le camp.
You're famous.	Vous êtes connue.
I have sisters.	J'ai des sœurs.
Anybody see you?	Quiconque t'a vu ?
I'm sorry.	Désolé !
I'm in luck.	Je suis veinard.
They said yes.	Elles ont dit oui.
No one's home.	Personne n'est chez lui.
Look back!	Regarde derrière toi !
I read books.	Je lis des livres.
She sued him.	Elle lui fit un procès.
Stay together.	Restez ensemble.
It makes sense.	Ça tient debout.
Tom was kind.	Tom était gentil.
I'm not a kid.	Je ne suis pas un gamin.
I'm famished.	Je suis affamé !
They'll attack.	Ils attaqueront.
How was lunch?	Comment était le déjeuner ?
Tom's terrific.	Tom est formidable.
Recess ended.	La récrée est terminée.
Did you miss me?	Je t'ai manqué ?
I mean it!	Je suis sérieux !
Dogs bark.	Les chiens aboient.
Stay awake.	Reste debout.
You scare me.	Tu me fais peur.
We did it.	Nous avons réussi !
Cows eat grass.	Les vaches se nourrissent d'herbe.
Start running.	Commencez à courir.
I can't go out.	Je ne peux pas sortir.
Help Tom out.	Soutenez Tom !
May I go home?	Puis-je aller chez moi ?
It was amazing.	C'était incroyable.
It's all yours.	C'est tout à vous.
Stop the car.	Arrêtez la voiture !
You may go.	Vous pouvez y aller.
He looks well.	Il a l'air en bonne santé.
I started that.	C'est moi qui ai commencé.
Tom took off.	Tom est parti.
Tom got beat.	Tom s'est fait battre.
She dumped me.	Elle m'a laissé tomber.
Are they cops?	C'est des flics ?
Now stop!	Arrêtez-vous maintenant !
Pull it open.	Ouvrez-la.
She runs.	Elle court.
He let me go.	Il m'a laissée partir.
I was watching.	J'étais en train de regarder.
Are you sleepy?	As-tu sommeil ?
I have no kids.	Je n'ai pas d'enfants.
He's faking.	Il simule.
Tom felt sad.	Tom se sentait triste.
We lost.	Nous perdîmes.
I'll pay you.	Je te paierai.
We were alone.	Nous étions seuls.
Come and see me.	Viens me voir.
I quit my job.	J'ai quitté mon boulot.
Tom is glum.	Tom a le moral à zéro.
I'm on holiday.	Je suis en congés.
Let's do it!	On s'y met !
Tom's scared.	Tom est apeuré.
Was that a no?	Était-ce un non ?
I have to go.	Il me faut m'en aller.
Leave me alone!	Laissez-moi tranquille !
We agree.	Nous sommes d'accord.
We surrendered.	Nous nous sommes rendus.
Show it to her.	Montre-la-lui !
Tom knows that.	Tom sait ça.
Pardon me?	Qu'est-ce que tu as dit ?
We lost.	Nous avons été défaites.
You're pretty.	Vous êtes jolie.
Keep Tom there.	Gardez Tom là-bas.
Slow down!	Calmos !
Get away!	Déguerpissez.
Did it hurt?	Ça vous a fait mal ?
Take a bus.	Prenez un bus.
I never spoke.	Je n'ai jamais parlé.
Keep out!	Défense d'entrer.
It's a classic.	C'est un classique.
We ate eggs.	Nous mangeâmes des œufs.
Tom's dead.	Tom est mort.
I feel normal.	Je me sens normal.
I give up.	J'abandonne.
Time flies.	Le temps s'enfuit.
She smells bad.	Elle pue.
What do I owe?	Combien dois-je ?
She helps him.	Elle l'aide.
I'm happy, too.	Je suis heureux, moi aussi.
Tom is numb.	Tom est paralysé.
Be sensible.	Soyez raisonnable !
Be sensible.	Sois raisonnable !
Give me a week.	Donnez-moi une semaine.
Please hold on.	Ne quittez pas.
You are crazy.	Tu es fou.
You're no fun.	Vous n'êtes pas drôle.
I feel guilty.	Je me sens coupable.
Can they see us?	Peuvent-elles nous voir ?
Who cleaned it?	Qui l'a nettoyée ?
I can ski.	Je sais skier.
That's a fake.	C'est un faux.
You're crazy.	Tu es cinglé.
Be nice.	Soyez gentils !
Let the dog go.	Laisse le chien partir.
I wrote that.	C'est moi qui ai écrit ça.
Want a drink?	Veux-tu un verre ?
Time is up.	L'heure est passée.
Leave at once.	Partez immédiatement.
I'm not short.	Je ne suis pas petite.
Boil some water.	Fais bouillir un peu d'eau.
He gave in.	Il a cédé.
I'm the boss.	Je suis le patron.
What are these?	Qu'est-ce que c'est ?
Stop screaming.	Cessez de hurler !
Nice timing.	Pile à l'heure !
Can we ask Tom?	Pouvons-nous demander à Tom ?
Get everything.	Attrapez tout.
I want kids.	Je veux des enfants.
I often ski.	Je skie souvent.
We're brothers.	Nous sommes frères.
I'll try that.	J'essayerai ça.
Pardon me?	Plait-il ?
We'll miss you.	Tu nous manqueras.
I pay taxes.	Je paye des accises.
Be prepared.	Tiens-toi prête !
Tom left me.	Tom m’a quitté.
I'm through.	J'en ai fini.
All are present.	Tous sont présents.
I've been seen.	On m'a vu.
He is powerful.	Il est puissant.
We should eat.	Nous devrions manger.
You're trying.	Tu essaies.
It's a bargain.	Affaire conclue !
Show me.	Montre-moi !
That'll be all.	Ce sera tout.
Terrific!	Excellent !
Tom's free.	Tom est disponible.
I paid.	J’ai payé.
Life is short.	La vie est brève.
Tastes differ.	Chacun ses goûts.
I saw you.	Je vous ai vue.
I'll treat you.	Ce sera pour moi.
